,index,Common,Count
0,"('SRR2034345', 'SRR2034348')",['E4'],1
68,"('SRR2034350', 'SRR2034348')",['G11'],1
65,"('SRR2034351', 'SRR2034354')",['G17'],1
64,"('SRR2034335', 'SRR2034360')",['E4'],1
62,"('SRR2034344', 'SRR2034361')",['G10'],1
61,"('SRR2034336', 'SRR2034356')",['E4'],1
59,"('SRR2034344', 'SRR2034356')",['G10'],1
58,"('SRR2034348', 'SRR2034361')",['E4'],1
57,"('SRR2034338', 'SRR2034337')",['G10'],1
69,"('SRR2034349', 'SRR2034357')",['E2'],1
55,"('SRR2034348', 'SRR2034357')",['E4'],1
53,"('SRR2034338', 'SRR2034360')",['E4'],1
52,"('SRR2034335', 'SRR2034336')",['E4'],1
101,"('SRR2034335', 'SRR2034337')",['G10'],1
49,"('SRR2034337', 'SRR2034357')",['G10'],1
48,"('SRR2034338', 'SRR2034348')",['E4'],1
47,"('SRR2034336', 'SRR2034361')",['E4'],1
46,"('SRR2034340', 'SRR2034361')",['E2'],1
45,"('SRR2034338', 'SRR2034343')",['G10'],1
54,"('SRR2034333', 'SRR2034348')",['E4'],1
44,"('SRR2034350', 'SRR2034361')",['E2'],1
70,"('SRR2034335', 'SRR2034343')",['G10'],1
74,"('SRR2034350', 'SRR2034358')",['G6'],1
99,"('SRR2034345', 'SRR2034343')",['G10'],1
98,"('SRR2034360', 'SRR2034361')",['E4'],1
97,"('SRR2034335', 'SRR2034344')",['G10'],1
95,"('SRR2034346', 'SRR2034354')",['G5'],1
94,"('SRR2034340', 'SRR2034360')",['G7'],1
93,"('SRR2034334', 'SRR2034337')",['G10'],1
92,"('SRR2034335', 'SRR2034348')",['E4'],1
89,"('SRR2034343', 'SRR2034357')",['G10'],1
71,"('SRR2034336', 'SRR2034348')",['E4'],1
87,"('SRR2034334', 'SRR2034336')",['E4'],1
85,"('SRR2034333', 'SRR2034360')",['E4'],1
84,"('SRR2034335', 'SRR2034354')",['E3'],1
83,"('SRR2034357', 'SRR2034360')",['E4'],1
81,"('SRR2034337', 'SRR2034343')",['G10'],1
80,"('SRR2034343', 'SRR2034361')",['G10'],1
78,"('SRR2034350', 'SRR2034357')",['E2'],1
77,"('SRR2034337', 'SRR2034344')",['G10'],1
75,"('SRR2034333', 'SRR2034336')",['E4'],1
86,"('SRR2034333', 'SRR2034344')",['G10'],1
43,"('SRR2034341', 'SRR2034355')",['E1'],1
51,"('SRR2034344', 'SRR2034343')",['G10'],1
41,"('SRR2034353', 'SRR2034361')",['G15'],1
16,"('SRR2034334', 'SRR2034348')",['E4'],1
17,"('SRR2034333', 'SRR2034337')",['G10'],1
13,"('SRR2034340', 'SRR2034349')",['E2'],1
18,"('SRR2034348', 'SRR2034356')",['E4'],1
12,"('SRR2034345', 'SRR2034344')",['G10'],1
11,"('SRR2034337', 'SRR2034356')",['G10'],1
10,"('SRR2034350', 'SRR2034349')",['E2'],1
9,"('SRR2034336', 'SRR2034360')",['E4'],1
21,"('SRR2034338', 'SRR2034344')",['G10'],1
22,"('SRR2034336', 'SRR2034357')",['E4'],1
23,"('SRR2034334', 'SRR2034360')",['E4'],1
25,"('SRR2034340', 'SRR2034357')",['E2'],1
27,"('SRR2034334', 'SRR2034344')",['G10'],1
7,"('SRR2034344', 'SRR2034357')",['G10'],1
26,"('SRR2034333', 'SRR2034343')",['G10'],1
29,"('SRR2034345', 'SRR2034360')",['E4'],1
39,"('SRR2034354', 'SRR2034361')",['G9'],1
1,"('SRR2034334', 'SRR2034354')",['E3'],1
3,"('SRR2034336', 'SRR2034345')",['E4'],1
4,"('SRR2034338', 'SRR2034336')",['E4'],1
34,"('SRR2034356', 'SRR2034360')",['E4'],1
28,"('SRR2034337', 'SRR2034354')",['G9'],1
32,"('SRR2034337', 'SRR2034345')",['G10'],1
33,"('SRR2034340', 'SRR2034350')",['E2'],1
6,"('SRR2034348', 'SRR2034360')",['E4'],1
30,"('SRR2034343', 'SRR2034356')",['G10'],1
5,"('SRR2034349', 'SRR2034361')",['E2'],1
14,"('SRR2034334', 'SRR2034343')",['G10'],1
88,"('SRR2034333', 'SRR2034357')","['E4', 'G10']",2
8,"('SRR2034334', 'SRR2034338')","['E4', 'G10']",2
90,"('SRR2034334', 'SRR2034356')","['E4', 'G10']",2
96,"('SRR2034335', 'SRR2034356')","['E4', 'G10']",2
91,"('SRR2034333', 'SRR2034338')","['E4', 'G10']",2
2,"('SRR2034356', 'SRR2034357')","['E4', 'G10']",2
82,"('SRR2034356', 'SRR2034361')","['E4', 'G10']",2
100,"('SRR2034345', 'SRR2034361')","['E4', 'G10']",2
73,"('SRR2034335', 'SRR2034345')","['E4', 'G10']",2
79,"('SRR2034343', 'SRR2034358')","['G16', 'G14']",2
40,"('SRR2034333', 'SRR2034356')","['E4', 'G10']",2
38,"('SRR2034333', 'SRR2034345')","['E4', 'G10']",2
37,"('SRR2034333', 'SRR2034361')","['E4', 'G10']",2
36,"('SRR2034335', 'SRR2034357')","['E4', 'G10']",2
50,"('SRR2034345', 'SRR2034356')","['E4', 'G10']",2
31,"('SRR2034335', 'SRR2034333')","['E4', 'G10']",2
56,"('SRR2034338', 'SRR2034356')","['E4', 'G10']",2
15,"('SRR2034345', 'SRR2034357')","['E4', 'G10']",2
60,"('SRR2034338', 'SRR2034345')","['E4', 'G10']",2
24,"('SRR2034335', 'SRR2034361')","['E4', 'G10']",2
66,"('SRR2034334', 'SRR2034345')","['E4', 'G10']",2
67,"('SRR2034335', 'SRR2034338')","['E4', 'G10']",2
20,"('SRR2034334', 'SRR2034333')","['E4', 'G10']",2
72,"('SRR2034337', 'SRR2034361')","['G9', 'G10']",2
42,"('SRR2034334', 'SRR2034357')","['E4', 'G10']",2
19,"('SRR2034338', 'SRR2034357')","['E4', 'G10']",2
63,"('SRR2034334', 'SRR2034361')","['E4', 'G10']",2
102,"('SRR2034338', 'SRR2034361')","['E4', 'G10']",2
76,"('SRR2034335', 'SRR2034334')","['E4', 'E3', 'G10']",3
35,"('SRR2034357', 'SRR2034361')","['E4', 'G10', 'E14', 'E2']",4
