,Strain,Proportion,Error
0,5.0,1.0,0.0
1,6.0,1.0,0.0
2,5.99999999886,1.0,0.0
3,5.99999998623,1.0,0.0
4,6.0,1.0,0.0
5,5.99999999225,1.0,0.0
6,6.0,1.0,0.0
7,5.99999999205,1.0,0.0
8,4.99999997297,1.0,0.0
9,5.999999988,1.0,0.0
10,5.999999988,1.0,0.0
11,5.99999999135,1.0,0.0
12,5.99999998432,1.0,0.0
13,5.99999999383,1.0,0.0
14,5.99999998636,1.0,0.0
15,5.0,1.0,0.0
16,5.99999999758,1.0,0.0
17,6.0,1.0,0.0
18,6.0,1.0,0.0
19,5.99999999612,1.0,0.0
20,5.99999999794,1.0,0.0
21,5.0,1.0,0.0
22,5.0,1.0,0.0
23,6.0,1.0,0.0
24,4.99999999417,1.0,0.0
25,6.0,1.0,0.0
26,5.99999999329,1.0,0.0
27,5.99999999627,1.0,0.0
28,5.99999999603,1.0,0.0
29,5.99999999765,1.0,0.0
30,5.0,1.0,0.0
31,6.0,1.0,0.0
32,5.0,1.0,0.0
33,5.99999999516,1.0,0.0
34,5.99999999463,1.0,0.0
35,5.99999999731,1.0,0.0
36,5.99999999407,1.0,0.0
37,5.99999998567,1.0,0.0
38,5.99999999605,1.0,0.0
39,5.99999999657,1.0,0.0
40,5.99999998792,1.0,0.0
41,5.99999999185,1.0,0.0
42,5.0,1.0,0.0
43,5.99999999766,1.0,0.0
44,5.99999999527,1.0,0.0
45,6.0,1.0,0.0
46,5.0,1.0,0.0
47,6.0,1.0,0.0
48,5.99999997685,1.0,0.0
49,6.0,1.0,0.0
50,5.0,1.0,0.0
51,6.0,1.0,0.0
52,5.99999999603,1.0,0.0
53,6.0,1.0,0.0
54,6.0,1.0,0.0
55,5.99999998915,1.0,0.0
56,5.9999999864,1.0,0.0
57,6.0,1.0,0.0
58,5.99999999603,1.0,0.0
59,5.99999999145,1.0,0.0
60,6.0,1.0,0.0
61,5.99999999405,1.0,0.0
62,5.0,1.0,0.0
63,5.99999999801,1.0,0.0
64,5.99999998639,1.0,0.0
65,5.99999998995,1.0,0.0
66,6.0,1.0,0.0
67,4.99999999802,1.0,0.0
68,5.0,1.0,0.0
69,5.0,1.0,0.0
70,5.99999999658,1.0,0.0
71,6.0,1.0,0.0
72,5.99999998134,1.0,0.0
73,5.99999999603,1.0,0.0
74,6.0,1.0,0.0
75,5.0,1.0,0.0
76,5.0,1.0,0.0
77,5.0,1.0,0.0
78,6.0,1.0,0.0
79,5.99999998672,1.0,0.0
80,6.0,1.0,0.0
81,5.99999999735,1.0,0.0
82,5.99999999404,1.0,0.0
83,5.99999999438,1.0,0.0
84,5.99999999558,1.0,0.0
85,5.99999998794,1.0,0.0
86,6.0,1.0,0.0
87,5.0,1.0,0.0
88,5.99999999008,1.0,0.0
89,6.0,1.0,0.0
90,5.99999999189,1.0,0.0
91,6.0,1.0,0.0
92,5.0,1.0,0.0
93,5.99999999794,1.0,0.0
94,5.99999999606,1.0,0.0
95,5.99999999374,1.0,0.0
96,4.99999994595,1.0,0.0
97,4.99999994595,1.0,0.0
98,5.0,1.0,0.0
99,5.99999999463,1.0,0.0
100,5.99999999206,1.0,0.0
101,5.99999999369,1.0,0.0
102,5.99999999738,1.0,0.0
103,5.9999999944,1.0,0.0
104,5.99999999067,1.0,0.0
105,5.0,1.0,0.0
106,6.0,1.0,0.0
107,5.99999999194,1.0,0.0
108,6.0,1.0,0.0
109,6.0,1.0,0.0
110,5.99999998993,1.0,0.0
111,6.0,1.0,0.0
112,5.0,1.0,0.0
113,5.0,1.0,0.0
114,4.99999999608,1.0,0.0
115,5.999999988,1.0,0.0
116,6.0,1.0,0.0
117,5.99999999828,1.0,0.0
118,5.99999999672,1.0,0.0
119,6.0,1.0,0.0
